"strain","host","plasmid","plasmid_2","strain_2","media","sugar","amino_acids","inducer","concentration","init_ratio","init_dilution","well","time","GFP","mCherry","OD600","OD700","row","column"
"","","","","","","","","",NA,NA,NA,"H12",0,NA,NA,NA,NA,"H",12
"","","","","","","","","",NA,NA,NA,"A1",1199.825,NA,NA,NA,NA,"A",1
"","","","","","","","","",NA,NA,NA,"A2",1199.825,NA,NA,NA,NA,"A",2
"","","","","","","","","",NA,NA,NA,"A3",1199.825,NA,NA,NA,NA,"A",3
"","","","","","","","","",NA,NA,NA,"A4",1199.825,NA,NA,NA,NA,"A",4
"","","","","","","","","",NA,NA,NA,"A5",1199.825,NA,NA,NA,NA,"A",5
"","","","","","","","","",NA,NA,NA,"A6",1199.825,NA,NA,NA,NA,"A",6
"","","","","","","","","",NA,NA,NA,"A7",1199.825,NA,NA,NA,NA,"A",7
"","","","","","","","","",NA,NA,NA,"A8",1199.825,NA,NA,NA,NA,"A",8
"","","","","","","","","",NA,NA,NA,"A9",1199.825,NA,NA,NA,NA,"A",9
"","","","","","","","","",NA,NA,NA,"A10",1199.825,NA,NA,NA,NA,"A",10
"","","","","","","","","",NA,NA,NA,"A11",1199.825,NA,NA,NA,NA,"A",11
"","","","","","","","","",NA,NA,NA,"A12",1199.825,NA,NA,NA,NA,"A",12
"","","","","","","","","",NA,NA,NA,"B1",1199.825,NA,NA,NA,NA,"B",1
"","","","","","","","","",NA,NA,NA,"B2",1199.825,NA,NA,NA,NA,"B",2
"","","","","","","","","",NA,NA,NA,"B3",1199.825,NA,NA,NA,NA,"B",3
"","","","","","","","","",NA,NA,NA,"B4",1199.825,NA,NA,NA,NA,"B",4
"","","","","","","","","",NA,NA,NA,"B5",1199.825,NA,NA,NA,NA,"B",5
"","","","","","","","","",NA,NA,NA,"B6",1199.825,NA,NA,NA,NA,"B",6
"","","","","","","","","",NA,NA,NA,"B7",1199.825,NA,NA,NA,NA,"B",7
"","","","","","","","","",NA,NA,NA,"B8",1199.825,NA,NA,NA,NA,"B",8
"","","","","","","","","",NA,NA,NA,"B9",1199.825,NA,NA,NA,NA,"B",9
"","","","","","","","","",NA,NA,NA,"B10",1199.825,NA,NA,NA,NA,"B",10
"","","","","","","","","",NA,NA,NA,"B11",1199.825,NA,NA,NA,NA,"B",11
"","","","","","","","","",NA,NA,NA,"B12",1199.825,NA,NA,NA,NA,"B",12
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.140625,"C1",1199.825,7922,1421,0.1144,0.1038,"C",1
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.140625,"C2",1199.825,7461,1339,0.1151,0.1044,"C",2
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.140625,"C3",1199.825,6820,999,0.1168,0.1059,"C",3
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.140625,"C4",1199.825,6715,1012,0.1244,0.1133,"C",4
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.140625,"C5",1199.825,6584,825,0.1188,0.1072,"C",5
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.140625,"C6",1199.825,6190,699,0.1268,0.1147,"C",6
"","","","","","","","","",NA,NA,NA,"C7",1199.825,NA,NA,NA,NA,"C",7
"","","","","","","","","",NA,NA,NA,"C8",1199.825,NA,NA,NA,NA,"C",8
"","","","","","","","","",NA,NA,NA,"C9",1199.825,NA,NA,NA,NA,"C",9
"","","","","","","","","",NA,NA,NA,"C10",1199.825,NA,NA,NA,NA,"C",10
"","","","","","","","","",NA,NA,NA,"C11",1199.825,NA,NA,NA,NA,"C",11
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"C12",1199.825,6183,741,0.0933,0.0881,"C",12
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.052734375,"D1",1199.825,6833,968,0.0981,0.0916,"D",1
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.052734375,"D2",1199.825,6853,957,0.1041,0.0971,"D",2
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.052734375,"D3",1199.825,6629,864,0.1026,0.0959,"D",3
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.052734375,"D4",1199.825,6477,736,0.1073,0.1,"D",4
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.052734375,"D5",1199.825,6422,761,0.1025,0.0949,"D",5
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.052734375,"D6",1199.825,6365,776,0.1077,0.0995,"D",6
"","","","","","","","","",NA,NA,NA,"D7",1199.825,NA,NA,NA,NA,"D",7
"","","","","","","","","",NA,NA,NA,"D8",1199.825,NA,NA,NA,NA,"D",8
"","","","","","","","","",NA,NA,NA,"D9",1199.825,NA,NA,NA,NA,"D",9
"","","","","","","","","",NA,NA,NA,"D10",1199.825,NA,NA,NA,NA,"D",10
"","","","","","","","","",NA,NA,NA,"D11",1199.825,NA,NA,NA,NA,"D",11
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"D12",1199.825,6344,737,0.0903,0.0851,"D",12
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.019775391,"E1",1199.825,6404,807,0.1,0.0944,"E",1
