"strain","host","plasmid","plasmid_2","strain_2","media","sugar","amino_acids","inducer","concentration","init_ratio","init_dilution","well","time","GFP","mCherry","OD600","OD700","row","column","normalised_OD","normalised_GFP","normalised_mCherry","calibrated_OD","calibrated_GFP"
"","","","","","","","","",NA,NA,NA,"C8",1199.825,NA,NA,NA,NA,"C",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"C9",1199.825,NA,NA,NA,NA,"C",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"C10",1199.825,NA,NA,NA,NA,"C",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"C11",1199.825,NA,NA,NA,NA,"C",11,NA,NA,NA,NA,NA
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"C12",1199.825,6183,741,0.0933,0.0881,"C",12,0.0015,-669.008472377442,2.67159433148072,1234112.71562018,-0.000789861682520817
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.052734375,"D1",1199.825,6833,968,0.0981,0.0916,"D",1,0.005,67.9824615759862,233.834528494223,4113709.05206725,8.02631710948208e-05
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.052734375,"D2",1199.825,6853,957,0.1041,0.0971,"D",2,0.0105,224.644844580431,229.377315008937,8638789.00934123,0.000265225871175245
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.052734375,"D3",1199.825,6629,864,0.1026,0.0959,"D",3,0.0093,-29.1436670350377,134.949009890085,7651498.83684508,-3.44083323748017e-05
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.052734375,"D4",1199.825,6477,736,0.1073,0.1,"D",4,0.0134,-80.5357388910306,11.8601803939405,11024740.2595402,-9.50841384675888e-05
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.052734375,"D5",1199.825,6422,761,0.1025,0.0949,"D",5,0.0083,-260.997514979295,30.7595807049661,6828757.02643163,-0.000308145479208508
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.052734375,"D6",1199.825,6365,776,0.1077,0.0995,"D",6,0.0129,-204.534369605306,51.2541065137384,10613369.3543335,-0.000241482534198216
"","","","","","","","","",NA,NA,NA,"D7",1199.825,NA,NA,NA,NA,"D",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D8",1199.825,NA,NA,NA,NA,"D",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D9",1199.825,NA,NA,NA,NA,"D",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D10",1199.825,NA,NA,NA,NA,"D",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"D11",1199.825,NA,NA,NA,NA,"D",11,NA,NA,NA,NA,NA
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"D12",1199.825,6344,737,0.0903,0.0851,"D",12,-0.0015,-582.572130054567,-4.89663495100558,-1234112.71562018,-0.000687811024574032
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,1,0.019775391,"E1",1199.825,6404,807,0.1,0.0944,"E",1,0.0078,-291.424791257807,76.1648758245669,6417386.12122491,-0.000344069298753668
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.8,0.019775391,"E2",1199.825,6407,769,0.1032,0.0977,"E",2,0.0111,-206.515303722077,42.0929333937875,9132434.09558929,-0.000243821314675652
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.6,0.019775391,"E3",1199.825,6383,771,0.0983,0.0928,"E",3,0.0062,-352.192075351821,38.2618202072495,5100999.22456338,-0.000415813904746698
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.4,0.019775391,"E4",1199.825,6517,774,0.0967,0.091,"E",4,0.0044,-262.930269958182,39.120882637777,3620063.96581918,-0.000310427377215119
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0.2,0.019775391,"E5",1199.825,6313,716,0.1019,0.0959,"E",5,0.0093,-345.143667035038,-13.0509901099153,7651498.83684508,-0.000407492234869479
"JW_SPoCK634301","JW3910","p63_AF043","pMPES_AF01","MG-Gm-CFP","M9","0.4% glycerol","casamino acids","AHL",0,0,0.019775391,"E6",1199.825,6380,744,0.1025,0.0964,"E",6,0.0098,-265.722315710897,15.5438781047815,8062869.74205181,-0.000313723792801721
"","","","","","","","","",NA,NA,NA,"E7",1199.825,NA,NA,NA,NA,"E",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E8",1199.825,NA,NA,NA,NA,"E",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E9",1199.825,NA,NA,NA,NA,"E",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E10",1199.825,NA,NA,NA,NA,"E",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"E11",1199.825,NA,NA,NA,NA,"E",11,NA,NA,NA,NA,NA
"","","","","","M9","0.4% glycerol","casamino acids","AHL",0,NA,NA,"E12",1199.825,6438,791,0.0959,0.0907,"E",12,0.00410000000000001,-349.386635725001,55.7640597095556,3373241.42269515,-0.000412501675746106
"","","","","","","","","",NA,NA,NA,"F1",1199.825,NA,NA,NA,NA,"F",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F2",1199.825,NA,NA,NA,NA,"F",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F3",1199.825,NA,NA,NA,NA,"F",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F4",1199.825,NA,NA,NA,NA,"F",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F5",1199.825,NA,NA,NA,NA,"F",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F6",1199.825,NA,NA,NA,NA,"F",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F7",1199.825,NA,NA,NA,NA,"F",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F8",1199.825,NA,NA,NA,NA,"F",8,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F9",1199.825,NA,NA,NA,NA,"F",9,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F10",1199.825,NA,NA,NA,NA,"F",10,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F11",1199.825,NA,NA,NA,NA,"F",11,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"F12",1199.825,NA,NA,NA,NA,"F",12,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G1",1199.825,NA,NA,NA,NA,"G",1,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G2",1199.825,NA,NA,NA,NA,"G",2,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G3",1199.825,NA,NA,NA,NA,"G",3,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G4",1199.825,NA,NA,NA,NA,"G",4,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G5",1199.825,NA,NA,NA,NA,"G",5,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G6",1199.825,NA,NA,NA,NA,"G",6,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G7",1199.825,NA,NA,NA,NA,"G",7,NA,NA,NA,NA,NA
"","","","","","","","","",NA,NA,NA,"G8",1199.825,NA,NA,NA,NA,"G",8,NA,NA,NA,NA,NA
