Method name: x,,,,,,
Application: SparkControl,,,,V2.3,,
Device: Spark,,,,Serial number: x,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,
,,,,,,
Date:,,,,19/12/2019,,
Time:,,,,3:20 PM,,
System,,,,x,,
User,,,,x\x,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,
Lid lifter,,,,No lid,,
Humidity Cassette,,,,No humidity cassette,,
Smooth mode,,,,Not selected,,
,,,,,,
List of actions in this measurement script:,,,,,,
Plate,,,,,,
,Absorbance,,,,,OD600
,Absorbance,,,,,OD700
,Fluorescence Top Reading,,,,,GFP 40
,Fluorescence Top Reading,,,,,GFP 50
,Fluorescence Top Reading,,,,,GFP 60
,Fluorescence Top Reading,,,,,GFP 70
,Fluorescence Top Reading,,,,,GFP 80
,Fluorescence Top Reading,,,,,GFP 90
,Fluorescence Top Reading,,,,,GFP 100
,Fluorescence Top Reading,,,,,GFP 110
,Fluorescence Top Reading,,,,,GFP 120
,,,,,,
Gain,,,,40,Manual,
Mirror,,,,Automatic (Dichroic 510),,
Number of flashes,,,,30,,
Integration time,,,,40,µs,
Lag time,,,,0,µs,
Settle time,,,,0,ms,
Z-Position,,,,20000,µm,
Z-Position mode,,,,Manual,,
Part of Plate,,,,A1-H12,,
,,,,,,
Start Time,,,,19/12/2019 15:08,,
Temperature,,,,28.6,°C,
,,,,,,
<>,Value,Time [ms],,,,
A1,1830,0,,,,
A2,932,777,,,,
A3,453,1445,,,,
A4,232,2113,,,,
A5,114,2781,,,,
A6,54,3449,,,,
A7,27,4117,,,,
A8,14,4785,,,,
A9,7,5453,,,,
A10,3,6121,,,,
A11,2,6789,,,,
A12,0,7456,,,,
B1,2170,15488,,,,
B2,928,14820,,,,
B3,468,14152,,,,
B4,231,13484,,,,
B5,112,12817,,,,
B6,56,12149,,,,
B7,27,11481,,,,
B8,13,10812,,,,
B9,7,10144,,,,
B10,4,9476,,,,
B11,2,8808,,,,
B12,0,8141,,,,
C1,1671,16172,,,,
C2,936,16840,,,,
C3,487,17507,,,,
C4,250,18174,,,,
C5,124,18842,,,,
C6,61,19509,,,,
C7,32,20176,,,,
C8,16,20844,,,,
C9,9,21512,,,,
C10,5,22180,,,,
C11,2,22848,,,,
C12,0,23515,,,,
D1,1901,31547,,,,
D2,944,30878,,,,
D3,470,30210,,,,
D4,219,29542,,,,
D5,115,28875,,,,
D6,56,28207,,,,
D7,27,27539,,,,
D8,14,26871,,,,
D9,7,26203,,,,
D10,3,25536,,,,
D11,2,24868,,,,
D12,0,24200,,,,
E1,0,32232,,,,
E2,0,32900,,,,
E3,0,33568,,,,
E4,0,34235,,,,
E5,0,34903,,,,
E6,0,35571,,,,
E7,1,36238,,,,
E8,0,36906,,,,
E9,0,37574,,,,
E10,0,38242,,,,
E11,0,38910,,,,
E12,0,39578,,,,
F1,0,47610,,,,
F2,1,46942,,,,
F3,0,46274,,,,
F4,0,45606,,,,
F5,0,44938,,,,
F6,0,44270,,,,
F7,0,43603,,,,
F8,0,42935,,,,
F9,0,42267,,,,
F10,0,41600,,,,
F11,0,40932,,,,
F12,0,40264,,,,
G1,0,48293,,,,
G2,0,48960,,,,
G3,0,49627,,,,
G4,0,50296,,,,
G5,0,50964,,,,
G6,0,51632,,,,
G7,0,52299,,,,
G8,0,52967,,,,
G9,0,53635,,,,
G10,1,54303,,,,
G11,0,54971,,,,
G12,0,55639,,,,
H1,0,63669,,,,
H2,0,63002,,,,
H3,1,62334,,,,
H4,0,61666,,,,
H5,0,60998,,,,
H6,0,60329,,,,
H7,0,59662,,,,
H8,0,58994,,,,
H9,1,58326,,,,
H10,0,57659,,,,
H11,0,56991,,,,
H12,0,56323,,,,
,,,,,,
,,,,,,
End Time,,,,19/12/2019 15:10,,
,,,,,,
Mode,Fluorescence Top Reading,,,,,
Name,GFP 50,,,,,
Excitation,,,,Monochromator,,
Excitation wavelength,,,,488,nm,
Excitation bandwidth,,,,20,nm,
Emission,,,,Monochromator,,
Emission wavelength,,,,530,nm,
Emission bandwidth,,,,20,nm,
Gain,,,,50,Manual,
Mirror,,,,Automatic (Dichroic 510),,
Number of flashes,,,,30,,
Integration time,,,,40,µs,
Lag time,,,,0,µs,
Settle time,,,,0,ms,
Z-Position,,,,20000,µm,
Z-Position mode,,,,Manual,,
Part of Plate,,,,A1-H12,,
,,,,,,
Start Time,,,,19/12/2019 15:10,,
Temperature,,,,28.5,°C,
,,,,,,
<>,Value,Time [ms],,,,
A1,9811,0,,,,
A2,4993,778,,,,
A3,2434,1445,,,,
A4,1253,2113,,,,
A5,617,2780,,,,
A6,294,3448,,,,
A7,149,4116,,,,
A8,76,4784,,,,
A9,39,5452,,,,
A10,19,6120,,,,
A11,11,6787,,,,
A12,2,7455,,,,
B1,11542,15488,,,,
B2,4936,14820,,,,
B3,2522,14152,,,,
B4,1247,13485,,,,
B5,597,12816,,,,
B6,299,12148,,,,
B7,150,11480,,,,
B8,73,10812,,,,
B9,38,10144,,,,
B10,19,9476,,,,
B11,10,8808,,,,
B12,2,8140,,,,
C1,8769,16173,,,,
C2,4985,16841,,,,
C3,2619,17508,,,,
C4,1330,18176,,,,
C5,664,18844,,,,
C6,333,19515,,,,
C7,174,20183,,,,
C8,87,20850,,,,
C9,47,21517,,,,
C10,24,22185,,,,
C11,13,22853,,,,
C12,2,23521,,,,
D1,9994,31553,,,,
D2,4965,30885,,,,
D3,2486,30217,,,,
D4,1156,29549,,,,
D5,614,28881,,,,
D6,298,28213,,,,
D7,146,27545,,,,
D8,74,26877,,,,
D9,37,26210,,,,
D10,19,25542,,,,
D11,10,24874,,,,
D12,2,24206,,,,
E1,2,32237,,,,
E2,2,32906,,,,
E3,2,33573,,,,
E4,2,34241,,,,
E5,2,34910,,,,
E6,2,35578,,,,
E7,2,36246,,,,
E8,2,36913,,,,
E9,2,37581,,,,
E10,2,38249,,,,
E11,2,38916,,,,
E12,2,39583,,,,
F1,2,47614,,,,
F2,2,46946,,,,
F3,2,46278,,,,
F4,2,45610,,,,
F5,2,44942,,,,
F6,2,44274,,,,
F7,2,43606,,,,
F8,2,42938,,,,
F9,2,42271,,,,
F10,2,41603,,,,
F11,2,40935,,,,
F12,2,40267,,,,
G1,2,48298,,,,
G2,2,48965,,,,
G3,2,49632,,,,
G4,2,50300,,,,
G5,2,50968,,,,
G6,1,51636,,,,
G7,2,52304,,,,
G8,1,52971,,,,
G9,2,53639,,,,
G10,2,54307,,,,
G11,2,54976,,,,
G12,2,55644,,,,
H1,2,63674,,,,
H2,2,63007,,,,
H3,2,62339,,,,
H4,2,61671,,,,
H5,2,61003,,,,
H6,2,60335,,,,
H7,2,59667,,,,
H8,2,58999,,,,
H9,2,58331,,,,
H10,2,57663,,,,
H11,2,56995,,,,
H12,2,56328,,,,
,,,,,,
,,,,,,
End Time,,,,19/12/2019 15:11,,
,,,,,,
Mode,Fluorescence Top Reading,,,,,
Name,GFP 60,,,,,
Excitation,,,,Monochromator,,
Excitation wavelength,,,,488,nm,
Excitation bandwidth,,,,20,nm,
Emission,,,,Monochromator,,
Emission wavelength,,,,530,nm,
Emission bandwidth,,,,20,nm,
Gain,,,,60,Manual,
Mirror,,,,Automatic (Dichroic 510),,
Number of flashes,,,,30,,
Integration time,,,,40,µs,
Lag time,,,,0,µs,
Settle time,,,,0,ms,
Z-Position,,,,20000,µm,
Z-Position mode,,,,Manual,,
Part of Plate,,,,A1-H12,,
,,,,,,
Start Time,,,,19/12/2019 15:11,,
Temperature,,,,28.2,°C,
,,,,,,
<>,Value,Time [ms],,,,
A1,36911,0,,,,
A2,19221,778,,,,
A3,9448,1446,,,,
A4,4853,2114,,,,
A5,2404,2782,,,,
A6,1137,3450,,,,
A7,581,4118,,,,
A8,296,4786,,,,
A9,153,5454,,,,
A10,76,6122,,,,
A11,42,6789,,,,
A12,7,7458,,,,
B1,42376,15489,,,,
B2,18887,14821,,,,
B3,9739,14154,,,,
B4,4823,13485,,,,
B5,2314,12817,,,,
B6,1158,12150,,,,
B7,578,11482,,,,
B8,286,10814,,,,
B9,148,10146,,,,
B10,74,9478,,,,
B11,41,8810,,,,
B12,7,8142,,,,
C1,33015,16173,,,,
