"calibrant","fluorophore","media","volume_uL","concentration","concentration_M","replicate","well","OD600","OD700","GFP 30","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","GFP 130","GFP 140","GFP 150","GFP 30 TOP","GFP 40 TOP","GFP 50 TOP","GFP 60 TOP","GFP 70 TOP","GFP 80 TOP","GFP 90 TOP","GFP 100 TOP","GFP 110 TOP","GFP 120 TOP","GFP 130 TOP","GFP 140 TOP","GFP 150 TOP","row","column"
"FITC","GFP","ddH20",125,3.75e+17,0.00498,4,"D2",NA,NA,481,4586,25054,92019,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,2218,12244,46248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,4,"D3",NA,NA,281,2698,14878,55801,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,1286,7153,27168,80093,NA,NA,NA,NA,NA,NA,NA,NA,"D",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,4,"D4",NA,NA,158,1507,8309,31510,92237,NA,NA,NA,NA,NA,NA,NA,NA,76,716,4020,15332,45530,NA,NA,NA,NA,NA,NA,NA,NA,"D",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,4,"D5",NA,NA,83,790,4318,16475,48706,NA,NA,NA,NA,NA,NA,NA,NA,41,374,2088,7935,23707,60428,NA,NA,NA,NA,NA,NA,NA,"D",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,4,"D6",NA,NA,43,415,2287,8752,26172,66265,NA,NA,NA,NA,NA,NA,NA,18,190,1065,4051,12076,31022,70957,NA,NA,NA,NA,NA,NA,"D",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,4,"D7",NA,NA,24,211,1166,4460,13314,34066,77991,NA,NA,NA,NA,NA,NA,10,98,555,2113,6333,16217,37375,79851,NA,NA,NA,NA,NA,"D",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,4,"D8",NA,NA,12,107,585,2241,6719,17181,39548,84764,NA,NA,NA,NA,NA,9,52,285,1089,3271,8415,19197,41479,84934,NA,NA,NA,NA,"D",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,4,"D9",NA,NA,5,51,290,1098,3271,8435,19444,41987,85603,NA,NA,NA,NA,2,28,147,561,1674,4289,9857,21524,43692,84923,NA,NA,NA,"D",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,4,"D10",NA,NA,3,26,148,574,1716,4425,10160,21877,44788,86917,NA,NA,NA,2,14,72,286,858,2223,5138,11121,22791,44249,82461,NA,NA,"D",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,4,"D11",NA,NA,2,17,79,302,918,2352,5415,11632,23899,46717,86934,NA,NA,1,8,42,158,469,1215,2798,6114,12435,24034,45118,80748,NA,"D",11
"FITC","GFP","ddH20",125,0,0,4,"D12",NA,NA,0,0,5,11,38,101,229,482,1029,1963,3691,6503,10751,0,0,4,8,30,66,151,349,665,1398,2321,4457,7820,"D",12
"microspheres","","ddH20",125,891346154,1.18e-11,1,"E1",1.388,1.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",1
"microspheres","","ddH20",125,534807692,7.1e-12,1,"E2",1.024,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",2
"microspheres","","ddH20",125,320884615,4.26e-12,1,"E3",0.716,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",3
"microspheres","","ddH20",125,192530769,2.56e-12,1,"E4",0.551,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",4
"microspheres","","ddH20",125,115518461,1.53e-12,1,"E5",0.393,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",5
"microspheres","","ddH20",125,69311077,9.21e-13,1,"E6",0.294,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",6
"microspheres","","ddH20",125,41586646,5.52e-13,1,"E7",0.244,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",7
"microspheres","","ddH20",125,24951988,3.31e-13,1,"E8",0.214,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",8
"microspheres","","ddH20",125,14971193,1.99e-13,1,"E9",0.17,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",9
"microspheres","","ddH20",125,8982716,1.19e-13,1,"E10",0.182,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",10
"microspheres","","ddH20",125,5389630,7.16e-14,1,"E11",0.177,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",11
"microspheres","","ddH20",125,0,0,1,"E12",0.147,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",12
"microspheres","","ddH20",125,891346154,1.18e-11,2,"F1",1.427,1.267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1
"microspheres","","ddH20",125,534807692,7.1e-12,2,"F2",1.05,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",2
"microspheres","","ddH20",125,320884615,4.26e-12,2,"F3",0.722,0.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",3
"microspheres","","ddH20",125,192530769,2.56e-12,2,"F4",0.517,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4
"microspheres","","ddH20",125,115518461,1.53e-12,2,"F5",0.405,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",5
"microspheres","","ddH20",125,69311077,9.21e-13,2,"F6",0.303,0.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",6
"microspheres","","ddH20",125,41586646,5.52e-13,2,"F7",0.236,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",7
"microspheres","","ddH20",125,24951988,3.31e-13,2,"F8",0.196,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",8
"microspheres","","ddH20",125,14971193,1.99e-13,2,"F9",0.178,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",9
"microspheres","","ddH20",125,8982716,1.19e-13,2,"F10",0.159,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",10
"microspheres","","ddH20",125,5389630,7.16e-14,2,"F11",0.164,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",11
"microspheres","","ddH20",125,0,0,2,"F12",0.141,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",12
"microspheres","","ddH20",125,891346154,1.18e-11,3,"G1",1.362,1.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",1
