"calibrant","fluorophore","media","volume_uL","concentration","concentration_M","replicate","well","OD600","OD700","GFP 30","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","GFP 130","GFP 140","GFP 150","GFP 30 TOP","GFP 40 TOP","GFP 50 TOP","GFP 60 TOP","GFP 70 TOP","GFP 80 TOP","GFP 90 TOP","GFP 100 TOP","GFP 110 TOP","GFP 120 TOP","GFP 130 TOP","GFP 140 TOP","GFP 150 TOP","row","column"
"FITC","GFP","ddH20",125,0,0,3,"C12",NA,NA,0,2,5,10,34,89,197,434,940,1736,3187,5659,9772,0,1,3,13,34,78,192,430,850,1763,3146,5739,9343,"C",12
"FITC","GFP","ddH20",125,7.5e+17,0.00997,4,"D1",NA,NA,900,8616,46251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1107,10540,55639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1
"FITC","GFP","ddH20",125,3.75e+17,0.00498,4,"D2",NA,NA,540,5198,28238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649,6168,33327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2
"FITC","GFP","ddH20",125,1.88e+17,0.00249,4,"D3",NA,NA,306,2932,16154,60444,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,3487,19076,71156,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",3
"FITC","GFP","ddH20",125,9.38e+16,0.00125,4,"D4",NA,NA,165,1594,8781,33285,96845,NA,NA,NA,NA,NA,NA,NA,NA,196,1895,10472,39451,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4
"FITC","GFP","ddH20",125,4.69e+16,0.000623,4,"D5",NA,NA,87,809,4467,17044,50369,NA,NA,NA,NA,NA,NA,NA,NA,101,965,5330,20279,59993,NA,NA,NA,NA,NA,NA,NA,NA,"D",5
"FITC","GFP","ddH20",125,2.34e+16,0.000311,4,"D6",NA,NA,43,416,2305,8746,26093,66402,NA,NA,NA,NA,NA,NA,NA,51,492,2751,10435,31064,78753,NA,NA,NA,NA,NA,NA,NA,"D",6
"FITC","GFP","ddH20",125,1.17e+16,0.000156,4,"D7",NA,NA,23,205,1157,4410,13139,33836,77513,NA,NA,NA,NA,NA,NA,27,247,1378,5293,15739,40295,91768,NA,NA,NA,NA,NA,NA,"D",7
"FITC","GFP","ddH20",125,5.86e+15,7.79e-05,4,"D8",NA,NA,10,105,585,2227,6674,17038,39092,84282,NA,NA,NA,NA,NA,12,129,694,2657,7889,20312,46830,NA,NA,NA,NA,NA,NA,"D",8
"FITC","GFP","ddH20",125,2.93e+15,3.89e-05,4,"D9",NA,NA,9,53,291,1111,3342,8605,19819,42658,86306,NA,NA,NA,NA,6,61,349,1337,4024,10342,23640,51478,NA,NA,NA,NA,NA,"D",9
"FITC","GFP","ddH20",125,1.47e+15,1.95e-05,4,"D10",NA,NA,2,27,152,580,1731,4462,10223,22188,45503,87988,NA,NA,NA,2,35,177,692,2064,5330,12319,26647,53898,NA,NA,NA,NA,"D",10
"FITC","GFP","ddH20",125,7.33e+14,9.73e-06,4,"D11",NA,NA,2,15,82,301,929,2371,5363,11776,23971,46800,87237,NA,NA,1,17,94,366,1078,2782,6521,13997,28983,55496,NA,NA,NA,"D",11
"FITC","GFP","ddH20",125,0,0,4,"D12",NA,NA,2,0,2,10,37,84,205,454,897,1726,3064,5683,10033,0,0,3,10,34,91,200,441,906,1903,3414,5779,10426,"D",12
